Bimm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
C,"Tage ThompsonPlayer NoteBUF - C,RW 
7:00 pm @ TB",@TB,–,,99%,39,-,1,-,-,-,-,-,-,-,,
C,"Dylan LarkinPlayer NoteDET - C 
7:00 pm @ CAR",@CAR,–,,97%,36,-,1,-,-,-,-,-,-,-,,
LW,"Rickard RakellNo new player NotesPIT - C,LW,RW
L, 2-3 @ NYR",@NYR,0.5,,59%,197,-,,0,0,0,2,0,0,0,,
LW,"Jared McCannNo new player NotesSEA - C,LW
10:00 pm vs VAN",VAN,–,,50%,194,-,,-,-,-,-,-,-,-,,
RW,"Pavel BuchnevichNo new player NotesSTL - C,LW,RW 
2nd 13:24, 0-1 vs NJ",NJ,0,,24%,205,-,2,0,0,0,0,0,0,0,,
RW,"William EklundNo new player NotesSJ - LW,RW
3rd 16:07, 3-3 vs EDM",EDM,0,,31%,164,-,,0,0,0,0,0,0,0,,
D,"Josh MansonNo new player NotesCOL - D
1st 19:36, 0-0 vs CHI",CHI,0,,52%,353,-,,-,-,-,-,-,-,-,,
D,"Rasmus DahlinNo new player NotesBUF - D 
7:00 pm @ TB",@TB,–,,99%,71,-,2,-,-,-,-,-,-,-,,
D,Noah HanifinPlayer NoteVGK - D,,–,,49%,296,-,,-,-,-,-,-,-,-,,
D,(Empty),,–,,0%,-,-,,-,-,-,-,-,-,-,,
Util,Mats ZuccarelloPlayer NoteMIN - RW,,–,,25%,230,-,,-,-,-,-,-,-,-,,
BN,Mark ScheifelePlayer NoteWPG - C ,,–,,98%,47,-,1,-,-,-,-,-,-,-,,
BN,Carter VerhaeghePlayer NoteFLA - LW,,–,,64%,149,-,,-,-,-,-,-,-,-,,
BN,"Lawson CrouseNew Player NoteUTA - LW,RW",,–,,20%,321,-,,-,-,-,-,-,-,-,,
BN,"Mitch MarnerPlayer NoteVGK - C,LW,RW ",,–,,99%,40,-,4,-,-,-,-,-,-,-,,
BN,"Jamie BennNo new player NotesDAL - C,LW,RW
8:00 pm vs NSH",NSH,–,,8%,309,-,,-,-,-,-,-,-,-,,
IR+,Josh MorrisseyIRPlayer NoteWPG - D ,,–,,98%,54,-,3,-,-,-,-,-,-,-,,
,,,,,,,,,,,,,,,,,
Andy,,,,,,,,,,,,,,,,,
C,"Dylan CozensNo new player NotesOTT - C
7:00 pm @ TOR",,,@TOR,–,,58%,139,-,,-,-,-,-,-,-,-
C,"Brayden PointPlayer NoteTB - C 
7:00 pm vs BUF",,,BUF,–,,95%,50,-,4,-,-,-,-,-,-,-
LW,"Brady TkachukPlayer NoteOTT - C,LW 
7:00 pm @ TOR",,,@TOR,–,,99%,15,-,1,-,-,-,-,-,-,-
LW,"Quinton ByfieldPlayer NoteLA - C,LW
7:00 pm vs CGY",,,CGY,–,,57%,199,-,,-,-,-,-,-,-,-
RW,"Morgan GeekiePlayer NoteBOS - C,LW,RW
L, 1-3 @ PHI",,,@PHI,-2,,91%,34,-,,0,0,-2,0,0,0,0
RW,"Nikita KucherovPlayer NoteTB - RW 
7:00 pm vs BUF",,,BUF,–,,100%,5,-,3,-,-,-,-,-,-,-
D,"Filip HronekNo new player NotesVAN - D
10:00 pm @ SEA",,,@SEA,–,,52%,262,-,,-,-,-,-,-,-,-
D,"K'Andre MillerNo new player NotesCAR - D
7:00 pm vs DET",,,DET,–,,16%,254,-,,-,-,-,-,-,-,-
D,"Lane HutsonNo new player NotesMTL - D 
7:00 pm vs WSH",,,WSH,–,,99%,63,-,1,-,-,-,-,-,-,-
D,Sean DurziNo new player NotesUTA - D,,,,–,,12%,185,-,,-,-,-,-,-,-,-
Util,"Jason RobertsonNo new player NotesDAL - LW,RW 
8:00 pm vs NSH",,,NSH,–,,100%,37,-,2,-,-,-,-,-,-,-
BN,"Matthew KniesPlayer NoteTOR - LW
7:00 pm vs OTT",,,OTT,–,,83%,84,-,,-,-,-,-,-,-,-
BN,"Dylan GuentherPlayer NoteUTA - LW,RW",,,,–,,93%,81,-,,-,-,-,-,-,-,-
BN,"Cole PerfettiNew Player NoteWPG - C,LW,RW",,,,–,,15%,146,-,,-,-,-,-,-,-,-
IR+,Troy TerryDTDNew Player NoteANA - RW,,,,–,,48%,213,-,,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
Jordan,,,,,,,,,,,,,,,,,
C,"Elias LindholmPlayer NoteBOS - C 
L, 1-3 @ PHI",,,@PHI,-1,,30%,219,-,1,0,0,-1,0,0,0,0
C,"Bo HorvatNo new player NotesNYI - C
1st 11:59, 0-1 @ CBJ",,,@CBJ,0,,82%,131,-,,0,0,0,0,0,0,0
LW,"Filip ForsbergPlayer NoteNSH - LW
8:00 pm @ DAL",,,@DAL,–,,98%,31,-,,-,-,-,-,-,-,-
LW,"Bobby McMannNo new player NotesTOR - LW
7:00 pm vs OTT",,,OTT,–,,18%,345,-,,-,-,-,-,-,-,-
RW,"Steven StamkosPlayer NoteNSH - C,LW,RW
8:00 pm @ DAL",,,@DAL,–,,82%,138,-,,-,-,-,-,-,-,-
RW,"Gabriel VilardiNew Player NoteWPG - C,RW",,,,–,,75%,111,-,,-,-,-,-,-,-,-
D,"Matthew SchaeferPlayer NoteNYI - D
1st 11:59, 0-1 @ CBJ",,,@CBJ,0,,95%,61,-,,0,0,0,0,0,0,0
D,Quinn HughesPlayer NoteMIN - D ,,,,–,,100%,10,-,2,-,-,-,-,-,-,-
D,"Sam MalinskiNo new player NotesCOL - D
1st 13:20, 0-1 vs CHI",,,CHI,0,,18%,461,-,,0,0,0,0,0,0,0
D,"Mike MathesonNo new player NotesMTL - D
7:00 pm vs WSH",,,WSH,–,,49%,147,-,,-,-,-,-,-,-,-
Util,"Artemi PanarinPlayer NoteLA - LW 
7:00 pm vs CGY",,,CGY,–,,99%,20,-,2,-,-,-,-,-,-,-
BN,"Adam FantilliPlayer NoteCBJ - C 
1st 11:59, 1-0 vs NYI",,,NYI,0,,50%,130,-,1,0,0,0,0,0,0,0
BN,"Nick SchmaltzNew Player NoteUTA - C,RW",,,,–,,84%,152,-,,-,-,-,-,-,-,-
BN,"Cutter GauthierPlayer NoteANA - LW,RW",,,,–,,92%,24,-,,-,-,-,-,-,-,-
IR+,"Adam FoxPlayer NoteNYR - D 
W, 3-2 vs PIT",,,PIT,1,,94%,178,-,3,0,0,1,0,0,0,0
,,,,,,,,,,,,,,,,,
Dan,,,,,,,,,,,,,,,,,
C,"Auston MatthewsPlayer NoteTOR - C 
7:00 pm vs OTT",,,OTT,–,,100%,17,-,3,-,-,-,-,-,-,-
C,"Nathan MacKinnonPlayer NoteCOL - C 
1st 12:06, 0-1 vs CHI",,,CHI,0,,100%,1,-,4,0,0,0,0,0,0,0
LW,"Juraj SlafkovskýNo new player NotesMTL - LW,RW
7:00 pm vs WSH",,,WSH,–,,89%,104,-,,-,-,-,-,-,-,-
LW,"Jake GuentzelPlayer NoteTB - LW,RW 
7:00 pm vs BUF",,,BUF,–,,99%,35,-,2,-,-,-,-,-,-,-
RW,"Viktor ArvidssonPlayer NoteBOS - LW,RW
L, 1-3 @ PHI",,,@PHI,0,,14%,317,-,,0,0,0,0,0,0,0
RW,"Jackson BlakeNo new player NotesCAR - RW
7:00 pm vs DET",,,DET,–,,9%,196,-,,-,-,-,-,-,-,-
D,"Oliver Ekman-LarssonNo new player NotesTOR - D
7:00 pm vs OTT",,,OTT,–,,38%,184,-,,-,-,-,-,-,-,-
D,"Darren RaddyshNo new player NotesTB - D
7:00 pm vs BUF",,,BUF,–,,90%,66,-,,-,-,-,-,-,-,-
D,"Thomas ChabotNo new player NotesOTT - D
7:00 pm @ TOR",,,@TOR,–,,50%,154,-,,-,-,-,-,-,-,-
D,"Mattias EkholmPlayer NoteEDM - D
3rd 8:35, 4-5 @ SJ",,,@SJ,1,,58%,191,-,,0,1,-1,0,0,0,0
Util,"Peyton KrebsNew Player NoteBUF - C
7:00 pm @ TB",,,@TB,–,,2%,465,-,,-,-,-,-,-,-,-
BN,Kyle ConnorNew Player NoteWPG - LW ,,,,–,,100%,12,-,2,-,-,-,-,-,-,-
BN,"Nazem KadriPlayer NoteCGY - C 
7:00 pm @ LA",,,@LA,–,,60%,182,-,1,-,-,-,-,-,-,-
BN,"J.T. MillerNo new player NotesNYR - C,LW,RW 
W, 3-2 vs PIT",,,PIT,3,,89%,51,-,1,0,1,0,0,1,0,0
,,,,,,,,,,,,,,,,,
Charlie,,,,,,,,,,,,,,,,,
C,"Macklin CelebriniNo new player NotesSJ - C 
3rd 8:35, 5-4 vs EDM",,,EDM,3,,100%,6,-,3,1,0,0,0,0,0,0
C,"John TavaresPlayer NoteTOR - C 
7:00 pm vs OTT",,,OTT,–,,88%,45,-,2,-,-,-,-,-,-,-
LW,"Brandon HagelPlayer NoteTB - LW,RW 
7:00 pm vs BUF",,,BUF,–,,98%,53,-,1,-,-,-,-,-,-,-
LW,"Tyler BertuzziPlayer NoteCHI - LW,RW
1st 12:02, 1-0 @ COL",,,@COL,3,,46%,202,-,,0,1,0,0,1,0,0
RW,"Anthony ManthaNo new player NotesPIT - LW,RW
L, 2-3 @ NYR",,,@NYR,3,,32%,370,-,,1,0,-1,0,1,0,0
RW,"Drake BathersonNo new player NotesOTT - LW,RW
7:00 pm @ TOR",,,@TOR,–,,86%,123,-,,-,-,-,-,-,-,-
D,"Erik KarlssonNo new player NotesPIT - D
L, 2-3 @ NYR",,,@NYR,3,,82%,188,-,,0,1,0,0,1,0,0
D,"Moritz SeiderNo new player NotesDET - D
7:00 pm @ CAR",,,@CAR,–,,99%,57,-,,-,-,-,-,-,-,-
D,"Evan BouchardPlayer NoteEDM - D 
3rd 8:35, 4-5 @ SJ",,,@SJ,7,,100%,30,-,4,1,2,-1,0,1,0,0
D,"John CarlsonOPlayer NoteWSH - D
7:00 pm @ MTL",,,@MTL,–,,92%,187,-,,-,-,-,-,-,-,-
Util,"David PastrnakNo new player NotesBOS - RW 
L, 1-3 @ PHI",,,@PHI,-2,,100%,9,-,2,0,0,-2,0,0,0,0
BN,"Matvei MichkovPlayer NotePHI - LW,RW
W, 3-1 vs BOS",,,BOS,0,,42%,92,-,,0,0,0,0,0,0,0
BN,Mason McTavishPlayer NoteANA - C ,,,,–,,50%,96,-,1,-,-,-,-,-,-,-
IR+,"Jonathan HuberdeauIRPlayer NoteCGY - C,LW
7:00 pm @ LA",,,@LA,–,,11%,201,-,,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,
Ryan,,,,,,,,,,,,,,,,,
C,"Seth JarvisPlayer NoteCAR - C,LW,RW 
7:00 pm vs DET",,,DET,–,,96%,79,-,2,-,-,-,-,-,-,-
C,"Trevor ZegrasPlayer NotePHI - C,LW,RW 
W, 3-1 vs BOS",,,BOS,2,,73%,229,-,2,0,0,2,0,0,0,0
LW,"Marat KhusnutdinovNo new player NotesBOS - C,LW
L, 1-3 @ PHI",,,@PHI,0,,2%,614,-,,0,0,0,0,0,0,0
LW,"Clayton KellerNew Player NoteUTA - LW,RW",,,,–,,97%,46,-,,-,-,-,-,-,-,-
RW,"Jesper BrattNo new player NotesNJ - LW,RW 
2nd 5:15, 1-0 @ STL",,,@STL,0,,85%,52,-,1,0,0,0,0,0,0,0
RW,"Vasily PodkolzinPlayer NoteEDM - LW,RW
3rd 8:35, 4-5 @ SJ",,,@SJ,0,,15%,348,-,,0,0,0,0,0,0,0
D,"Miro HeiskanenPlayer NoteDAL - D
8:00 pm vs NSH",,,NSH,–,,98%,26,-,,-,-,-,-,-,-,-
D,"J.J. MoserNo new player NotesTB - D
7:00 pm vs BUF",,,BUF,–,,19%,478,-,,-,-,-,-,-,-,-
D,John MarinoNo new player NotesUTA - D,,,,–,,4%,555,-,,-,-,-,-,-,-,-
D,"Devon ToewsNo new player NotesCOL - D
1st 12:02, 0-1 vs CHI",,,CHI,0.5,,42%,245,-,,0,0,0,2,0,0,0
Util,"Ryan O'ReillyPlayer NoteNSH - C
8:00 pm @ DAL",,,@DAL,–,,64%,228,-,,-,-,-,-,-,-,-
BN,"Sam ReinhartNo new player NotesFLA - C,RW ",,,,–,,99%,29,-,1,-,-,-,-,-,-,-
BN,"Matthew TkachukNew Player NoteFLA - LW,RW ",,,,–,,92%,77,-,3,-,-,-,-,-,-,-
BN,Beckett SenneckeNew Player NoteANA - RW,,,,–,,46%,160,-,,-,-,-,-,-,-,-
IR+,"Pavel ZachaPlayer NoteBOS - C,LW
L, 1-3 @ PHI",,,@PHI,2,,26%,292,-,,0,1,0,0,0,0,0
,,,,,,,,,,,,,,,,,
Marinos,,,,,,,,,,,,,,,,,
C,"Nick SuzukiNo new player NotesMTL - C 
7:00 pm vs WSH",,,WSH,–,,99%,38,-,1,-,-,-,-,-,-,-
C,"Sean CouturierPlayer NotePHI - C
W, 3-1 vs BOS",,,BOS,3.5,,4%,498,-,,1,0,0,2,0,0,0
LW,"Victor OlofssonPlayer NoteCOL - LW,RW
1st 11:30, 0-1 vs CHI",,,CHI,0,,4%,322,-,,0,0,0,0,0,0,0
LW,"Jaden SchwartzPlayer NoteSEA - C,LW
10:00 pm vs VAN",,,VAN,–,,4%,504,-,,-,-,-,-,-,-,-
