GM,Player,Team,Pos,IR,Contract,GP,TotalFP,FPG
Bimm,Tage Thompson,BUF,C,,1yr,60,180.3,3.00
Bimm,Dylan Larkin,DET,C,,1yr,60,183.5,3.06
Bimm,Rickard Rakell,PIT,"C,LW,RW",,,37,67.5,1.82
Bimm,Jared McCann,SEA,"C,LW",,,35,100.3,2.86
Bimm,Pavel Buchnevich,STL,"C,LW,RW",,2yr,59,90.0,1.53
Bimm,William Eklund,SJS,"LW,RW",,,53,76.0,1.43
Bimm,Josh Manson,COL,D,,,58,117.5,2.03
Bimm,Rasmus Dahlin,BUF,D,,2yr,56,142.3,2.54
Bimm,Noah Hanifin,VGK,D,,,48,48.0,1.00
Bimm,Mats Zuccarello,MIN,RW,,,40,96.5,2.41
Bimm,Mark Scheifele,WPJ,C,,1yr,58,196.5,3.39
Bimm,Carter Verhaeghe,FLA,LW,,,58,115.0,1.98
Bimm,Lawson Crouse,UTA,"LW,RW",,,58,109.5,1.89
Bimm,Mitch Marner,VGK,"C,LW,RW",,4yr,58,169.0,2.91
Bimm,Jamie Benn,DAL,"C,LW,RW",,,37,75.3,2.03
Bimm,Josh Morrissey,WPJ,D,IR+,3yr,56,123.5,2.21
Bimm,Joseph Woll,TOR,G,,,27,83.5,3.09
Bimm,Spencer Knight,CHI,G,,,41,116.7,2.85
Andy,Dylan Cozens,OTT,C,,,59,140.3,2.38
Andy,Brayden Point,TBL,C,,4yr,40,102.5,2.56
Andy,Brady Tkachuk,OTT,"C,LW",,1yr,39,119.5,3.06
Andy,Quinton Byfield,LAK,"C,LW",,,58,96.0,1.66
Andy,Morgan Geekie,BOS,"C,LW,RW",,,58,172.5,2.97
Andy,Nikita Kucherov,TBL,RW,,3yr*,54,299.0,5.54
Andy,Filip Hronek,VAN,D,,,59,84.5,1.43
Andy,K'Andre Miller,CAR,D,,,51,69.5,1.36
Andy,Lane Hutson,MTL,D,,1yr,59,177.5,3.01
Andy,Sean Durzi,UTA,D,,,38,51.0,1.34
Andy,Jason Robertson,DAL,"LW,RW",,2yr,59,232.5,3.94
Andy,Matthew Knies,TOR,LW,,2yr,57,111.3,1.95
Andy,Dylan Guenther,UTA,"LW,RW",,,57,163.0,2.86
