GM,Player,Team,Pos,IR,Contract,GP,TotalFP,FPG
Bimm,Rickard Rakell,PIT,"C,LW,RW",,,42,80.5,1.92
Bimm,Jared McCann,SEA,"C,LW",,,38,100.8,2.65
Bimm,William Eklund,SJS,"LW,RW",,,57,83.0,1.46
Bimm,Josh Manson,COL,D,,,62,119.0,1.92
Bimm,Rasmus Dahlin,BUF,D,,2yr,60,167.5,2.79
Bimm,Noah Hanifin,VGK,D,,,53,52.0,0.98
Bimm,Mats Zuccarello,MIN,RW,,,44,105.0,2.39
Bimm,Mitch Marner,VGK,"C,LW,RW",,4yr,63,187.5,2.98
Bimm,Jamie Benn,DAL,"C,LW,RW",,,41,86.8,2.12
Bimm,Josh Morrissey,WPJ,D,IR+,3yr,57,132.0,2.32
Bimm,Joseph Woll,TOR,G,,,28,79.6,2.84
Bimm,Spencer Knight,CHI,G,,,42,118.0,2.81
Bimm,Brandon Bussi,FLA,G,,,30,105.8,3.53
Bimm,Bo Horvat,NYI,C,,,50,157.0,3.14
Bimm,Gabriel Vilardi,WPJ,"C,RW",,,62,155.5,2.51
Bimm,Juraj Slafkovsky,MTL,"LW,RW",,,62,167.0,2.69
Bimm,Darren Raddysh,TBL,D,,,56,193.0,3.45
Bimm,Brandon Hagel,TBL,"LW,RW",,1yr,57,206.0,3.61
Bimm,Drake Batherson,OTT,"LW,RW",,,59,160.8,2.72
Bimm,John Gibson,DET,G,,,41,141.2,3.44
Andy,Dylan Cozens,OTT,C,,,62,153.8,2.48
Andy,Brayden Point,TBL,C,,4yr,44,115.0,2.61
Andy,Brady Tkachuk,OTT,"C,LW",,1yr,42,129.0,3.07
Andy,Morgan Geekie,BOS,"C,LW,RW",,,62,175.5,2.83
Andy,Nikita Kucherov,TBL,RW,,3yr*,58,321.5,5.54
Andy,K'Andre Miller,CAR,D,,,55,85.0,1.55
Andy,Lane Hutson,MTL,D,,1yr,62,194.5,3.14
Andy,Jason Robertson,DAL,"LW,RW",,2yr,63,249.5,3.96
Andy,Matthew Knies,TOR,LW,,2yr,61,118.3,1.94
Andy,Dylan Guenther,UTA,"LW,RW",,,62,179.5,2.90
Andy,Cole Perfetti,WPJ,"C,LW,RW",,,48,58.0,1.21
Andy,Troy Terry,ANH,RW,IR+,,46,127.5,2.77
Andy,Jake Oettinger,DAL,G,,3yr,40,113.3,2.83
Andy,Ilya Sorokin,NYI,G,,1yr,39,166.7,4.27
Andy,Lukas Dostal,ANH,G,,,43,95.5,2.22
Andy,Gabriel Landeskog,COL,"LW,RW",,1yr,47,107.3,2.28
Andy,Brock Faber,MIN,D,,,64,141.3,2.21
Andy,Sam Malinski,COL,D,,,62,96.0,1.55
Jordan,Elias Lindholm,BOS,C,,1yr,50,117.5,2.35
Jordan,Filip Forsberg,NSH,LW,,,63,157.0,2.49
Jordan,Bobby McMann,TOR,LW,,,60,98.5,1.64
Jordan,Matthew Schaefer,NYI,D,,,64,153.5,2.40
Jordan,Quinn Hughes,VAN,D,,2yr,58,166.0,2.86
Jordan,Artemi Panarin,NYR,LW,,1yr,59,168.5,2.86
Jordan,Adam Fox,NYR,D,IR+,3yr,36,83.0,2.31
Jordan,Igor Shesterkin,NYR,G,,1yr,39,122.6,3.14
Jordan,Joel Hofer,STL,G,,,34,108.9,3.20
Jordan,Alexander Nikishin,CAR,D,,,62,78.3,1.26
Jordan,Jacob Trouba,ANH,D,,,62,81.8,1.32
Jordan,Vincent Trocheck,NYR,C,,,48,111.0,2.31
Jordan,Filip Hronek,VAN,D,,,63,95.5,1.52
Jordan,Aleksander Barkov,FLA,C,IR+,1yr,0,0.0,0.00
Jordan,Alex Newhook,MTL,"C,LW",,,22,54.0,2.45
Jordan,Lawson Crouse,UTA,"LW,RW",,,63,112.0,1.78
Jordan,Casey DeSmith,DAL,G,,,24,78.6,3.28
Jordan,Blake Coleman,CGY,"C,LW,RW",,,51,90.3,1.77
Dan,Auston Matthews,TOR,C,,3yr,58,146.0,2.52
Dan,Nathan MacKinnon,COL,C,,4yr,61,343.5,5.63
Dan,Jake Guentzel,TBL,"LW,RW",,2yr,62,219.3,3.54
Dan,Viktor Arvidsson,BOS,"LW,RW",,,51,123.0,2.41
Dan,Jackson Blake,CAR,RW,,,63,121.0,1.92
Dan,Oliver Ekman-Larsson,TOR,D,,,62,84.5,1.36
Dan,Thomas Chabot,OTT,D,,,47,75.5,1.61
Dan,Mattias Ekholm,EDM,D,,,64,110.0,1.72
Dan,Peyton Krebs,BUF,C,,,64,95.5,1.49
Dan,Kyle Connor,WPJ,LW,,2yr,62,195.5,3.15
Dan,J.T. Miller,NYR,"C,LW,RW",,1yr,51,85.5,1.68
Dan,Jet Greaves,CBJ,G,,,41,121.9,2.97
Dan,Yaroslav Askarov,SJS,G,,,39,66.8,1.71
Dan,Dylan Larkin,DET,C,,1yr,63,185.5,2.94
Dan,Nikita Zadorov,BOS,D,,,62,85.8,1.38
Dan,Juuse Saros,NSH,G,,1yr,48,86.4,1.80
Charlie,Macklin Celebrini,SJS,C,,3yr,61,256.5,4.20
Charlie,John Tavares,TOR,C,,2yr,64,123.5,1.93
Charlie,Tyler Bertuzzi,CHI,"LW,RW",,,61,133.5,2.19
Charlie,Anthony Mantha,PIT,"LW,RW",,,63,148.8,2.36
Charlie,Erik Karlsson,PIT,D,,,58,122.5,2.11
Charlie,Moritz Seider,DET,D,,,64,148.3,2.32
Charlie,Evan Bouchard,EDM,D,,4yr,64,218.5,3.41
Charlie,John Carlson,WAS,D,,,55,128.5,2.34
Charlie,David Pastrnak,BOS,RW,,2yr,58,214.0,3.69
Charlie,Matvei Michkov,PHI,"LW,RW",,,62,94.3,1.52
Charlie,Mason McTavish,???,C,,1yr,58,86.0,1.48
Charlie,Jonathan Huberdeau,CGY,"C,LW",IR+,,50,71.3,1.43
Charlie,Frederik Andersen,CAR,G,,1yr,25,16.7,0.67
Charlie,Tristan Jarry,PIT,G,,,27,63.7,2.36
Charlie,Adin Hill,VGK,G,,,16,3.8,0.24
Charlie,Carter Verhaeghe,FLA,LW,,,62,113.5,1.83
Charlie,Pavel Buchnevich,STL,"C,LW,RW",,2yr,63,101.0,1.60
Charlie,Tage Thompson,BUF,C,,1yr,64,202.8,3.17
Ryan,Seth Jarvis,CAR,"C,LW,RW",,2yr,55,171.5,3.12
Ryan,Trevor Zegras,PHI,"C,LW,RW",,2yr,63,151.0,2.40
Ryan,Marat Khusnutdinov,BOS,"C,LW",,,58,83.0,1.43
Ryan,Clayton Keller,UTA,"LW,RW",,4yr,64,198.0,3.09
Ryan,Jesper Bratt,NJD,"LW,RW",,1yr,64,118.0,1.84
Ryan,Vasily Podkolzin,EDM,"LW,RW",,,64,109.3,1.71
Ryan,Miro Heiskanen,DAL,D,,,61,160.5,2.63
Ryan,J.J. Moser,TBL,D,,,60,106.3,1.77
Ryan,John Marino,UTA,D,,,64,109.0,1.70
Ryan,Devon Toews,COL,D,,,49,67.5,1.38
Ryan,Ryan O'Reilly,NSH,C,,,62,179.5,2.90
Ryan,Sam Reinhart,FLA,"C,RW",,1yr,63,165.0,2.62
Ryan,Matthew Tkachuk,FLA,"LW,RW",,3yr,16,53.3,3.33
Ryan,Beckett Sennecke,ANH,RW,,,63,137.5,2.18
Ryan,Pavel Zacha,BOS,"C,LW",IR+,,60,135.5,2.26
Ryan,Mackenzie Blackwood,COL,G,,1yr,27,104.0,3.85
Ryan,Philipp Grubauer,SEA,G,,,24,67.3,2.80
Ryan,Stuart Skinner,EDM,G,,,39,82.0,2.10
Marinos,Sean Couturier,PHI,C,,,62,65.5,1.06
Marinos,Victor Olofsson,COL,"LW,RW",,,61,79.0,1.30
Marinos,Jaden Schwartz,SEA,"C,LW",,,42,68.0,1.62
Marinos,Ivan Demidov,MTL,RW,,,62,137.0,2.21
Marinos,Kirill Marchenko,CBJ,RW,,2yr,57,173.0,3.04
Marinos,Vince Dunn,SEA,D,,,61,100.0,1.64
Marinos,Olen Zellweger,ANH,D,,,62,62.0,1.00
Marinos,Logan Stanley,WPJ,D,,,59,76.3,1.29
Marinos,Brent Burns,COL,D,,,62,109.0,1.76
Marinos,Connor McDavid,EDM,C,,4yr,64,317.5,4.96
Marinos,Jack Eichel,VGK,C,,2yr,56,211.0,3.77
Marinos,Alexis Lafreniere,NYR,"LW,RW",,3yr,63,98.0,1.56
Marinos,Tyler Toffoli,SJS,"LW,RW",,,61,105.5,1.73
Marinos,Dustin Wolf,CGY,G,,,45,96.7,2.15
Marinos,Darcy Kuemper,LAK,G,,,39,80.3,2.06
Marinos,Adam Fantilli,CBJ,C,,1yr,63,112.8,1.79
Marinos,Quinton Byfield,LAK,"C,LW",,,60,94.0,1.57
Marinos,Tim Stutzle,OTT,"C,LW",,1yr,62,208.3,3.36
Seedo,Ridly Greig,OTT,"C,LW,RW",,,57,90.0,1.58
Seedo,Will Smith,SJS,"C,RW",,,48,129.0,2.69
Seedo,Cole Caufield,MTL,"LW,RW",,4yr,62,223.5,3.60
Seedo,Claude Giroux,OTT,"LW,RW",,,62,124.0,2.00
Seedo,Jordan Eberle,SEA,RW,,,60,141.5,2.36
Seedo,Dmitry Orlov,SJS,D,,,61,59.5,0.98
Seedo,Justin Faulk,STL,D,,,62,94.5,1.52
Seedo,Aaron Ekblad,FLA,D,,,61,68.3,1.12
Seedo,Evgeni Malkin,PIT,"C,LW,RW",,,46,151.3,3.29
Seedo,Marcus Johansson,MIN,LW,,,57,125.0,2.19
Seedo,Wyatt Johnston,DAL,"C,RW",,2yr,63,208.0,3.30
Seedo,Leo Carlsson,ANH,C,,,51,157.3,3.08
Seedo,Anthony Cirelli,TBL,C,IR+,2yr,54,137.8,2.55
Seedo,Sam Montembeault,MTL,G,,1yr,25,19.3,0.77
Seedo,Jake Allen,NJD,G,,,29,73.9,2.55
Seedo,Connor Ingram,UTA,G,,,18,39.7,2.21
Seedo,Alex Tuch,BUF,"LW,RW",,1yr,63,187.3,2.97
Seedo,Nazem Kadri,CGY,C,,1yr,62,90.5,1.46
Mike,Connor Bedard,CHI,"C,RW",,2yr*,51,172.0,3.37
Mike,Sebastian Aho,PIT,C,,3yr,63,206.0,3.27
Mike,Andrei Svechnikov,CAR,"LW,RW",,,63,178.0,2.83
Mike,Mika Zibanejad,NYR,"C,RW",,1yr,62,158.0,2.55
Mike,Valeri Nichushkin,COL,"LW,RW",,,53,102.0,1.92
Mike,Mikko Rantanen,DAL,"LW,RW",IR+,2yr,54,213.3,3.95
Mike,Cale Makar,COL,D,,4yr,62,219.5,3.54
Mike,Roman Josi,NSH,D,,,51,110.5,2.17
Mike,Andrei Vasilevskiy,TBL,G,,2yr,42,156.6,3.73
Mike,Logan Thompson,WAS,G,,,44,139.1,3.16
Mike,Mattias Samuelsson,BUF,D,,,62,125.0,2.02
Mike,Steven Stamkos,NSH,"C,LW,RW",,,63,151.5,2.40
Mike,Mike Matheson,MTL,D,,,59,95.0,1.61
Mike,Cutter Gauthier,ANH,"LW,RW",,,62,179.5,2.90
Mike,Nick Schmaltz,UTA,"C,RW",,,64,192.5,3.01
Mike,Jeremy Swayman,BOS,G,,,41,124.3,3.03
Mike,Kirill Kaprizov,MIN,LW,,1yr,64,237.0,3.70
Mike,Jakob Chychrun,WAS,D,,,63,175.3,2.78
Adam,Ryan McLeod,BUF,C,,,64,143.5,2.24
Adam,Ryan Nugent-Hopkins,EDM,"C,LW",,1yr,55,137.8,2.50
Adam,Nikolaj Ehlers,CAR,"LW,RW",,,63,152.5,2.42
Adam,Patrick Kane,DET,RW,,,49,99.5,2.03
Adam,Bryan Rust,PIT,RW,,,56,145.5,2.60
Adam,Dougie Hamilton,NJD,D,,1yr,59,80.5,1.36
Adam,MacKenzie Weegar,CGY,D,,1yr,62,34.3,0.55
Adam,Jake Sanderson,OTT,D,,4yr,62,140.0,2.26
Adam,Robert Thomas,STL,C,,3yr,46,116.5,2.53
Adam,JJ Peterka,UTA,"LW,RW",,,64,123.5,1.93
Adam,Roope Hintz,DAL,C,,2yr,53,144.0,2.72
Adam,Akira Schmid,VGK,G,,,32,73.7,2.30
Adam,Linus Ullmark,OTT,G,,,35,64.9,1.85
Adam,Karel Vejmelka,UTA,G,,,49,132.7,2.71
Adam,Thatcher Demko,VAN,G,IR+,1yr,20,41.0,2.05
Adam,Sam Bennett,FLA,C,,,63,144.0,2.29
Adam,Jordan Kyrou,STL,RW,,,53,93.0,1.75
Adam,Samuel Girard,COL,D,,,47,42.3,0.90
Colin,Dylan Strome,WAS,C,,1yr,63,149.0,2.37
Colin,Brock Nelson,COL,C,,,62,173.0,2.79
Colin,Travis Konecny,PHI,"LW,RW",,,59,173.8,2.94
Colin,Zach Hyman,EDM,"LW,RW",,2yr,45,143.0,3.18
Colin,Tom Wilson,WAS,RW,,,55,173.0,3.15
Colin,Rasmus Andersson,CGY,D,,,63,105.8,1.68
Colin,Shayne Gostisbehere,CAR,D,,,45,127.0,2.82
Colin,Adrian Kempe,LAK,RW,,4yr,63,179.5,2.85
Colin,Elias Pettersson,VAN,"C,LW",,3yr,55,87.0,1.58
Colin,Alex DeBrincat,DET,"LW,RW",,2yr,64,190.0,2.97
Colin,Filip Gustavsson,MIN,G,,,40,142.6,3.56
Colin,Scott Wedgewood,COL,G,,,35,135.2,3.86
